fixed.acidity,volatile.acidity,residual.sugar,chlorides,total.sulfur.dioxide,density,sulphates,alcohol,good
7.4,0.7,1.9,0.076,34,0.9978,0.56,9.4,No
7.8,0.88,2.6,0.098,67,0.9968,0.68,9.8,No
7.8,0.76,2.3,0.092,54,0.997,0.65,9.8,No
11.2,0.28,1.9,0.075,60,0.998,0.58,9.8,No
7.4,0.7,1.9,0.076,34,0.9978,0.56,9.4,No
7.4,0.66,1.8,0.075,40,0.9978,0.56,9.4,No
7.9,0.6,1.6,0.069,59,0.9964,0.46,9.4,No
7.3,0.65,1.2,0.065,21,0.9946,0.47,10,Yes
7.8,0.58,2,0.073,18,0.9968,0.57,9.5,Yes
7.5,0.5,6.1,0.071,102,0.9978,0.8,10.5,No
6.7,0.58,1.8,0.097,65,0.9959,0.54,9.2,No
7.5,0.5,6.1,0.071,102,0.9978,0.8,10.5,No
5.6,0.615,1.6,0.089,59,0.9943,0.52,9.9,No
7.8,0.61,1.6,0.114,29,0.9974,1.56,9.1,No
8.9,0.62,3.8,0.176,145,0.9986,0.88,9.2,No
8.9,0.62,3.9,0.17,148,0.9986,0.93,9.2,No
8.5,0.28,1.8,0.092,103,0.9969,0.75,10.5,Yes
8.1,0.56,1.7,0.368,56,0.9968,1.28,9.3,No
7.4,0.59,4.4,0.086,29,0.9974,0.5,9,No
7.9,0.32,1.8,0.341,56,0.9969,1.08,9.2,No
8.9,0.22,1.8,0.077,60,0.9968,0.53,9.4,No
7.6,0.39,2.3,0.082,71,0.9982,0.65,9.7,No
7.9,0.43,1.6,0.106,37,0.9966,0.91,9.5,No
8.5,0.49,2.3,0.084,67,0.9968,0.53,9.4,No
6.9,0.4,2.4,0.085,40,0.9968,0.63,9.7,No
6.3,0.39,1.4,0.08,23,0.9955,0.56,9.3,No
7.6,0.41,1.8,0.08,11,0.9962,0.59,9.5,No
7.9,0.43,1.6,0.106,37,0.9966,0.91,9.5,No
7.1,0.71,1.9,0.08,35,0.9972,0.55,9.4,No
7.8,0.645,2,0.082,16,0.9964,0.59,9.8,No
6.7,0.675,2.4,0.089,82,0.9958,0.54,10.1,No
6.9,0.685,2.5,0.105,37,0.9966,0.57,10.6,No
8.3,0.655,2.3,0.083,113,0.9966,0.66,9.8,No
6.9,0.605,10.7,0.073,83,0.9993,0.52,9.4,No
5.2,0.32,1.8,0.103,50,0.9957,0.55,9.2,No
7.8,0.645,5.5,0.086,18,0.9986,0.55,9.6,No
7.8,0.6,2.4,0.086,15,0.9975,0.6,10.8,No
8.1,0.38,2.1,0.066,30,0.9968,0.73,9.7,Yes
5.7,1.13,1.5,0.172,19,0.994,0.48,9.8,No
7.3,0.45,5.9,0.074,87,0.9978,0.83,10.5,No
7.3,0.45,5.9,0.074,87,0.9978,0.83,10.5,No
8.8,0.61,2.8,0.088,46,0.9976,0.51,9.3,No
7.5,0.49,2.6,0.332,14,0.9968,0.9,10.5,No
8.1,0.66,2.2,0.069,23,0.9968,1.2,10.3,No
6.8,0.67,1.8,0.05,11,0.9962,0.52,9.5,No
4.6,0.52,2.1,0.054,65,0.9934,0.56,13.1,No
7.7,0.935,2.2,0.114,114,0.997,0.73,9.2,No
8.7,0.29,1.6,0.113,37,0.9969,0.58,9.5,No
6.4,0.4,1.6,0.066,12,0.9958,0.56,9.2,No
5.6,0.31,1.4,0.074,96,0.9954,0.58,9.2,No
8.8,0.66,1.7,0.074,23,0.9971,0.74,9.2,No
6.6,0.52,2.2,0.069,15,0.9956,0.63,9.4,No
6.6,0.5,2.1,0.068,14,0.9955,0.64,9.4,No
8.6,0.38,3,0.081,119,0.997,0.56,9.4,No
7.6,0.51,2.8,0.11,73,0.9955,0.63,10.2,No
7.7,0.62,3.8,0.084,45,0.9978,0.53,9.5,No
10.2,0.42,3.4,0.07,10,0.9971,0.63,9.6,No
7.5,0.63,5.1,0.111,110,0.9983,0.77,9.4,No
7.8,0.59,2.3,0.076,54,0.9975,0.59,10,No
7.3,0.39,2.4,0.074,46,0.9962,0.54,9.4,No
8.8,0.4,2.2,0.079,52,0.998,0.64,9.2,No
7.7,0.69,1.8,0.115,112,0.9968,0.71,9.3,No
7.5,0.52,1.9,0.085,35,0.9968,0.62,9.5,Yes
7,0.735,2,0.081,54,0.9966,0.57,9.8,No
7.2,0.725,4.65,0.086,11,0.9962,0.39,10.9,No
7.2,0.725,4.65,0.086,11,0.9962,0.39,10.9,No
7.5,0.52,1.5,0.079,39,0.9968,0.58,9.6,No
6.6,0.705,1.6,0.076,15,0.9962,0.58,10.7,No
9.3,0.32,2,0.074,65,0.9969,0.79,10.7,No
8,0.705,1.9,0.074,19,0.9962,0.95,10.5,No
7.7,0.63,1.9,0.076,27,0.9967,0.54,9.5,No
7.7,0.67,2.1,0.088,96,0.9962,0.48,9.5,No
7.7,0.69,1.9,0.084,94,0.9961,0.48,9.5,No
8.3,0.675,2.1,0.084,43,0.9976,0.53,9.2,No
9.7,0.32,2.5,0.094,83,0.9984,0.82,9.6,No
8.8,0.41,2.2,0.093,42,0.9986,0.66,10.5,No
8.8,0.41,2.2,0.093,42,0.9986,0.66,10.5,No
6.8,0.785,2.4,0.104,30,0.9966,0.55,10.7,No
6.7,0.75,2,0.086,80,0.9958,0.52,10.1,No
8.3,0.625,1.5,0.08,119,0.9972,1.12,9.1,No
