DelinquentStatus,CustFICO,CustIncome,AcctOpenNoMonths,IntRate,CurrAcctBal,CreditOpenNoMonths,DaysToPmtDue,InqLst6Mos,NoLatePmtLst2Yrs,PublicRecords,CreditPurpose
1,697,98295,38,0.1166,161129,19,57,6,0,0,Other
0,737,65485,56,0.1062,31725,19,32,0,0,0,CreditCard
0,777,66200,7,0.0705,14444,17,26,0,0,0,Other
0,647,63191,9,0.1766,31416,17,97,4,1,0,Other
0,672,44347,8,0.1461,709,17,22,0,0,0,Other
0,812,80870,5,0.0712,50,17,0,0,0,0,DebtConsol
0,812,77844,14,0.0743,50,17,0,0,0,0,DebtConsol
0,792,76748,56,0.1531,34039,17,1,4,0,0,Business
0,752,68217,9,0.0768,17771,16,37,0,0,0,Spending
0,742,60169,21,0.0894,3276,16,11,1,0,0,Spending
0,792,71087,2,0.074,35,16,0,1,0,0,Other
0,732,61516,25,0.1253,114,16,2,0,0,0,Other
0,747,56641,13,0.1148,452,16,90,0,0,0,Other
0,762,71669,37,0.0963,14992,16,34,0,0,0,DebtConsol
0,737,65485,33,0.1221,49025,16,33,0,0,0,DebtConsol
0,692,60627,7,0.1322,3777,16,35,2,0,0,DebtConsol
0,707,57836,42,0.1322,14489,16,89,0,0,0,DebtConsol
0,702,64747,7,0.1126,8129,16,63,1,0,0,CreditCard
1,712,50963,16,0.1221,8680,16,24,0,0,1,CreditCard
0,782,86016,40,0.0963,3991,16,9,1,0,0,Business
0,697,83571,76,0.1878,182893,16,69,2,0,0,Business
0,807,60071,15,0.1357,32062,16,0,0,0,0,Business
1,757,73127,20,0.0859,12952,15,27,0,0,0,Spending
0,752,66549,26,0.0859,28289,15,49,1,0,0,Spending
0,697,94676,42,0.1411,508961,15,91,0,0,0,Other
0,707,71368,28,0.1379,56903,15,54,5,1,0,Other
0,762,64747,7,0.074,3771,15,14,0,0,0,Other
0,792,56078,26,0.08,2751,15,16,0,0,0,Other
0,772,42840,12,0.1114,5326,15,40,1,0,0,Other
1,752,77192,49,0.1148,2522,15,34,4,1,0,HomeRenovation
0,787,61862,9,0.0859,194,15,2,0,0,0,HomeRenovation
0,787,67231,24,0.08,7171,15,10,2,0,0,Education
0,807,65447,7,0.074,562,15,1,0,0,0,Education
0,667,86630,52,0.1836,212629,15,87,3,0,0,DebtConsol
0,687,85226,42,0.1385,24341,15,87,1,0,1,DebtConsol
0,737,81802,41,0.1148,50282,15,10,0,0,0,DebtConsol
0,662,80487,14,0.1505,8209,15,50,5,0,0,DebtConsol
0,697,70307,19,0.1273,14441,15,87,0,0,0,DebtConsol
0,777,69621,31,0.0859,22054,15,25,2,0,0,DebtConsol
1,667,68852,28,0.1442,6383,15,30,1,2,0,DebtConsol
1,672,66549,29,0.1739,19099,15,99,1,0,1,DebtConsol
0,772,60738,48,0.0963,8259,15,42,2,0,0,DebtConsol
0,782,58012,27,0.1114,13952,15,23,0,0,0,DebtConsol
0,677,82702,43,0.145,204954,15,81,0,0,0,CreditCard
0,677,82525,42,0.1442,71663,15,83,2,0,0,CreditCard
0,717,77412,39,0.1316,40761,15,65,0,0,0,CreditCard
0,767,76748,31,0.0938,2887,15,60,3,0,0,CreditCard
0,782,69772,46,0.0894,8943,15,21,1,0,0,CreditCard
0,762,94019,68,0.1158,276570,15,6,2,0,0,Business
1,747,68852,33,0.1059,17214,15,8,2,1,0,Business
0,757,68852,20,0.0807,17246,14,13,1,0,0,Spending
0,707,67231,33,0.1316,9030,14,37,2,0,0,Spending
1,692,60372,56,0.1392,1466,14,16,0,4,0,Spending
1,682,105690,69,0.1565,388892,14,6,4,1,0,Other
0,772,91605,26,0.08,22141,14,15,1,0,0,Other
0,732,82702,40,0.1025,19962,14,49,1,0,0,Other
0,797,68073,40,0.0963,3658,14,5,0,0,0,Other
0,687,64720,16,0.1253,10115,14,70,0,0,0,Other
0,752,54315,47,0.1284,77929,14,8,7,0,0,Other
0,712,54315,41,0.1461,1318,14,94,0,0,0,Other
0,772,51328,9,0.1197,1511,14,11,2,0,0,Other
0,722,87157,67,0.1166,247970,14,93,12,0,0,HomeRenovation
0,722,80870,16,0.0945,1390,14,1,1,0,0,HomeRenovation
0,677,76748,9,0.1322,7479,14,82,2,0,0,HomeRenovation
0,757,76523,41,0.1114,16001,14,38,0,0,0,HomeRenovation
0,797,62370,23,0.0774,5689,14,6,0,0,0,HomeRenovation
0,747,62370,12,0.0832,398,14,1,3,2,0,HomeRenovation
0,662,59700,35,0.16,12683,14,34,0,1,1,HomeRenovation
1,692,83400,31,0.1426,62587,14,77,3,0,0,Education
0,782,72332,39,0.0894,4254,14,23,0,0,0,Education
0,782,66200,9,0.0832,2967,14,5,0,0,0,Education
0,767,66200,13,0.0775,4067,14,7,0,0,0,Education
0,662,61862,15,0.1565,1972,14,42,5,2,1,Education
0,687,53042,5,0.1221,0,14,0,0,0,0,Education
