"","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"1",2008,11,1,6,1001,913,1153,1125,"9E",3747,"86319E",112,132,99,28,48,"DTW","SAV",706,4,9,28,0,0,0,0
"2",2008,11,1,6,2116,2120,2345,2259,"9E",2824,"85339E",209,159,130,46,-4,"MSP","IDA",939,5,74,0,0,46,0,0
"3",2008,11,1,6,1330,1235,1456,1413,"9E",2070,"91709E",86,98,70,43,55,"CVG","PHL",507,4,12,0,0,0,0,43
"4",2008,11,1,6,1435,1400,1539,1518,"9E",2024,"91629E",64,78,42,21,35,"CHS","ATL",259,13,9,0,0,0,0,21
"5",2008,11,1,6,1225,1211,1400,1320,"9E",2024,"91629E",95,69,47,40,14,"ATL","CHS",259,20,28,14,0,26,0,0
"6",2008,11,1,6,1950,1850,17,2320,"AA",614,"N5BYAA",207,210,191,57,60,"DFW","BOS",1562,5,11,14,0,0,0,43
"7",2008,11,1,6,2028,1955,2245,2230,"AA",1555,"N5FTAA",137,155,116,15,33,"MIA","SJU",1045,5,16,15,0,0,0,0
"8",2008,11,1,6,759,740,1112,1050,"AA",1660,"N434AA",133,130,113,22,19,"DFW","IND",762,8,12,19,0,3,0,0
"9",2008,11,1,6,1115,1055,1208,1150,"AA",1325,"N3DKAA",113,115,96,18,20,"MIA","MSY",674,6,11,18,0,0,0,0
"10",2008,11,1,6,1052,1055,1507,1440,"AA",1600,"N3BRAA",195,165,164,27,-3,"DFW","DCA",1192,11,20,0,0,27,0,0
"11",2008,11,1,6,916,745,1035,915,"AA",1323,"N529AA",139,150,120,80,91,"JFK","ORD",740,4,15,80,0,0,0,0
"12",2008,11,1,6,1948,1855,2200,2120,"AA",397,"N398AA",312,325,290,40,53,"MIA","LAX",2342,11,11,40,0,0,0,0
"13",2008,11,1,6,1122,1055,1424,1400,"AA",2062,"N627AA",182,185,162,24,27,"MIA","BOS",1258,6,14,11,0,0,0,13
"14",2008,11,1,6,1224,1230,2046,2030,"AA",28,"N5FBAA",322,300,297,16,-6,"HNL","SFO",2398,13,12,0,0,16,0,0
"15",2008,11,1,6,1551,1455,1741,1635,"AA",1363,"N4XDAA",230,220,205,66,56,"DFW","SFO",1464,7,18,0,0,66,0,0
"16",2008,11,1,6,1420,1345,1549,1530,"AA",1479,"N527AA",149,165,136,19,35,"BOS","ORD",867,3,10,19,0,0,0,0
"17",2008,11,1,6,1245,1210,1357,1320,"AA",617,"N3BMAA",192,190,164,37,35,"DFW","SNA",1205,13,15,35,0,2,0,0
"18",2008,11,1,6,1835,1810,2106,2050,"AA",588,"N5CUAA",151,160,136,16,25,"SJU","MIA",1045,5,10,0,0,0,0,16
"19",2008,11,1,6,954,830,1350,1225,"AA",1048,"N5DVAA",176,175,153,85,84,"ORD","MIA",1197,5,18,84,0,1,0,0
"20",2008,11,1,6,1908,1905,2159,2135,"AA",1261,"N3CLAA",171,150,134,24,3,"DCA","MIA",920,14,23,0,0,24,0,0
"21",2008,11,1,6,1443,1325,1655,1540,"AA",1763,"N5DVAA",192,195,162,75,78,"MIA","ORD",1197,19,11,3,0,0,0,72
"22",2008,11,1,6,1416,1350,1612,1540,"AA",749,"N3AFAA",116,110,88,32,26,"ATL","MIA",595,4,24,4,0,6,0,22
"23",2008,11,1,6,1602,1400,1703,1505,"AA",484,"N3AJAA",61,65,36,118,122,"TUL","DFW",237,14,11,0,0,0,0,118
"24",2008,11,1,6,848,740,1042,925,"AA",334,"N214AA",114,105,91,77,68,"DFW","BNA",631,6,17,68,0,9,0,0
"25",2008,11,1,6,1240,1130,1625,1515,"AA",1503,"N4XSAA",165,165,148,70,70,"ORD","RSW",1120,3,14,70,0,0,0,0
"26",2008,11,1,6,1001,950,1205,1143,"AS",382,"N703AS",124,113,106,22,11,"PDX","SFO",550,4,14,0,0,22,0,0
"27",2008,11,1,6,1547,1430,1828,1638,"AS",314,"N320AS",161,128,131,110,77,"SEA","SFO",679,6,24,77,0,33,0,0
"28",2008,11,1,6,630,600,914,841,"AS",240,"N557AS",164,161,143,33,30,"SEA","LAX",954,8,13,30,0,3,0,0
"29",2008,11,1,6,1559,1600,1855,1835,"AS",472,"N590AS",176,155,147,20,-1,"SEA","LAX",954,8,21,0,0,20,0,0
"30",2008,11,1,6,2053,2000,2308,2247,"AS",111,"N597AS",195,227,179,21,53,"SEA","ANC",1449,5,11,21,0,0,0,0
"31",2008,11,1,6,1848,1800,2138,2045,"AS",511,"N706AS",170,165,142,53,48,"SNA","SEA",978,7,21,0,0,5,0,48
"32",2008,11,1,6,1517,1430,1826,1714,"AS",512,"N706AS",189,164,161,72,47,"SEA","SNA",978,11,17,0,0,25,47,0
"33",2008,11,1,6,654,700,956,939,"AS",452,"N609AS",182,159,148,17,-6,"SEA","LAX",954,9,25,0,0,17,0,0
